Unique ID,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,writer,year
124,15000000,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,43848100,Wall Street,R,12/11/87,126,7.4,Charlie Sheen,Stanley Weiser,1987
125,17000000,Carolco International N.V.,UK,Alan Parker,Horror,17185632,Angel Heart,R,3/6/87,113,7.3,Mickey Rourke,William Hjortsberg,1987
126,6000000,Circle Films,USA,Joel Coen,Comedy,22847564,Raising Arizona,PG-13,4/17/87,94,7.4,Nicolas Cage,Ethan Coen,1987
127,0,Hawn / Sylbert Movie Company,USA,Garry Marshall,Comedy,26713187,Overboard,PG,12/16/87,106,6.8,Goldie Hawn,Leslie Dixon,1987
128,25000000,Cannon Group,USA,Menahem Golan,Action,16057580,Over the Top,PG,2/13/87,93,5.7,Sylvester Stallone,Gary Conway,1987
129,6000000,Gladden Entertainment,USA,Michael Gottlieb,Comedy,42721196,Mannequin,PG,2/13/87,90,5.8,Andrew McCarthy,Edward Rugoff,1987
130,27000000,Warner Bros.,USA,Joe Dante,Action,25893810,Innerspace,PG,7/1/87,120,6.8,Dennis Quaid,Chip Proser,1987
131,0,Paramount Pictures,USA,Carl Reiner,Comedy,35658098,Summer School,PG-13,7/22/87,97,6.5,Mark Harmon,Stuart Birnbaum,1987
132,0,RKO Pictures,USA,John Irvin,Action,13839404,Hamburger Hill,R,8/28/87,110,6.7,Anthony Barrile,James Carabatsos,1987
133,13000000,Touchstone Pictures,USA,Barry Levinson,Biography,123922370,"Good Morning, Vietnam",R,1/15/88,121,7.3,Robin Williams,Mitch Markowitz,1987
134,30000000,Paramount Pictures,USA,John Hughes,Comedy,49530280,"Planes, Trains & Automobiles",R,11/25/87,93,7.6,Steve Martin,John Hughes,1987
135,28000000,Paramount Pictures,USA,Tony Scott,Action,153665000,Beverly Hills Cop II,R,5/20/87,100,6.5,Eddie Murphy,Danilo Bach,1987
136,11000000,Interscope Communications,USA,Leonard Nimoy,Comedy,167780960,3 Men and a Baby,PG,11/25/87,102,5.9,Tom Selleck,Coline Serreau,1987
137,0,Amblin Entertainment,USA,William Dear,Comedy,29760613,Harry and the Hendersons,PG,6/5/87,110,5.9,John Lithgow,William Dear,1987
138,0,Road Movies Filmproduktion,West Germany,Wim Wenders,Drama,3210139,Wings of Desire,PG-13,5/6/88,128,8.1,Bruno Ganz,Wim Wenders,1987
139,5000000,F/M,USA,Kathryn Bigelow,Action,3369307,Near Dark,R,1988,94,7,Adrian Pasdar,Kathryn Bigelow,1987
140,2600000,Merchant Ivory Productions,UK,James Ivory,Drama,3130592,Maurice,R,9/18/87,140,7.7,James Wilby,E.M. Forster,1987
141,12000000,Rastar Pictures,USA,Herbert Ross,Comedy,66995879,The Secret of My Succe$s,PG-13,4/10/87,111,6.5,Michael J. Fox,Jim Cash,1987
142,15000000,Metro-Goldwyn-Mayer (MGM),USA,Norman Jewison,Comedy,80640528,Moonstruck,PG,1/15/88,102,7.1,Cher,John Patrick Shanley,1987
143,6500000,Columbia Pictures Corporation,USA,Luis Valdez,Biography,54215416,La Bamba,PG-13,7/24/87,108,6.8,Lou Diamond Phillips,Luis Valdez,1987
144,23000000,Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Biography,43984230,The Last Emperor,PG-13,4/15/88,163,7.8,John Lone,Mark Peploe,1987
145,15000000,Orion Pictures,USA,Roger Donaldson,Action,35509515,No Way Out,R,8/14/87,114,7.1,Kevin Costner,Kenneth Fearing,1987
146,3000000,Alive Films,USA,John Carpenter,Horror,14182492,Prince of Darkness,R,10/23/87,102,6.7,Donald Pleasence,John Carpenter,1987
147,0,Twentieth Century Fox Film Corporation,USA,Marek Kanievska,Crime,12396383,Less Than Zero,R,11/6/87,98,6.4,Andrew McCarthy,Bret Easton Ellis,1987
148,0,Universal Pictures,USA,Matthew Robbins,Comedy,32945797,*batteries not included,PG,12/18/87,106,6.6,Hume Cronyn,Mick Garris,1987
149,3000000,Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,7888703,Teen Wolf Too,PG,11/20/87,95,3.2,Jason Bateman,Jeph Loeb,1987
150,0,Fries Entertainment,USA,Jeffrey Bloom,Drama,15151736,Flowers in the Attic,PG-13,11/20/87,93,5.7,Louise Fletcher,Virginia C. Andrews,1987
151,0,United Artists,USA,Charles Shyer,Comedy,26712476,Baby Boom,PG,10/30/87,110,6.1,Diane Keaton,Nancy Meyers,1987
152,0,Cineplex-Odeon Films,UK,Bruce Robinson,Comedy,1544889,Withnail & I,R,6/19/87,107,7.8,Richard E. Grant,Bruce Robinson,1987
153,3500000,Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,14000000,Creepshow 2,R,5/1/87,92,6,George Kennedy,Stephen King,1987
154,2500000,New Century Entertainment Corporation,Canada,Tibor Takàcs,Fantasy,13539458,TÏnel al infierno,PG-13,5/15/87,85,6,Stephen Dorff,Michael Nankin,1987
155,12000000,Columbia Pictures Industries,USA,Fred Schepisi,Comedy,40050884,Roxanne,PG,6/19/87,107,6.6,Steve Martin,Edmond Rostand,1987
156,18000000,TriStar Pictures,USA,Blake Edwards,Comedy,39321715,Blind Date,PG-13,3/27/87,95,5.9,Kim Basinger,Dale Launer,1987
157,0,Lightyear Entertainment,UK,Robert Altman,Comedy,1028679,Aria,R,10/30/87,90,5.8,John Hurt,Robert Altman,1987
158,17000000,Cannon Films,UK,Sidney J. Furie,Action,15681020,Superman IV: The Quest for Peace,PG,7/24/87,90,3.6,Christopher Reeve,Joe Shuster,1987
159,20000000,Applied Action,USA,Tom Mankiewicz,Comedy,57387516,Dragnet,PG-13,6/26/87,106,5.9,Dan Aykroyd,Dan Aykroyd,1987
160,14000000,Orion Pictures,USA,Danny DeVito,Comedy,57915972,Throw Momma from the Train,PG-13,12/11/87,88,6.2,Danny DeVito,Stu Silver,1987
161,1000000,Atlantic Entertainment Group,USA,Rod Amateau,Adventure,1576615,The Garbage Pail Kids Movie,PG,8/22/87,100,2.7,Anthony Newley,Linda Palmer,1987
162,0,Heron Communications,USA,Jack Sholder,Action,9747988,The Hidden,R,10/30/87,96,7,Kyle MacLachlan,Jim Kouf,1987
163,0,TriStar Pictures,USA,Christopher Cain,Action,19734940,The Principal,R,9/18/87,109,6.2,James Belushi,Frank Deese,1987
164,3000000,Golan-Globus Productions,USA,Barbet Schroeder,Comedy,3221568,Barfly,R,10/16/87,100,7.3,Mickey Rourke,Charles Bukowski,1987
165,20000000,Amercent Films,USA,James L. Brooks,Comedy,51249404,Broadcast News,R,12/25/87,133,7.2,William Hurt,James L. Brooks,1987
166,0,British Screen Productions,UK,Alan Clarke,Comedy,124167,"Rita, Sue and Bob Too",R,5/29/87,93,6.4,Siobhan Finneran,Andrea Dunbar,1987
167,0,Warner Bros.,USA,Jim Drake,Comedy,28061343,Police Academy 4: Citizens on Patrol,PG,4/3/87,88,4.8,Steve Guttenberg,Neal Israel,1987
168,0,New World Pictures,USA,Ethan Wiley,Comedy,7800000,House II: The Second Story,PG-13,8/28/87,88,5.4,Arye Gross,Fred Dekker,1987
169,15000000,Amercent Films,USA,James Toback,Comedy,13290368,The Pick-up Artist,PG-13,9/18/87,81,5.2,Molly Ringwald,James Toback,1987
170,0,Universal Pictures,USA,Joe Dante,Comedy,548696,Amazon Women on the Moon,R,9/18/87,85,6.2,Rosanna Arquette,Michael Barrie,1987
171,0,Incorporated Television Company (ITC),UK,Joseph Ruben,Horror,2488740,The Stepfather,R,6/5/87,89,6.8,Terry O'Quinn,Carolyn Lefcourt,1987
172,0,Panorama Film A/S,Denmark,Gabriel Axel,Comedy,4398938,Babette's Feast,G,3/4/88,102,7.8,St_phane Audran,Karen Blixen,1987
173,0,Orion Pictures,USA,John Schlesinger,Crime,18753438,The Believers,R,6/10/87,114,6.1,Martin Sheen,Mark Frost,1987
174,16000000,Orion Pictures,USA,Woody Allen,Comedy,14792779,Radio Days,PG,1/30/87,88,7.6,Mia Farrow,Woody Allen,1987
175,6000000,Universal Pictures,USA,Phil Joanou,Comedy,3685862,Three O'Clock High,PG-13,10/9/87,97,7.2,Casey Siemaszko,Richard Christian Matheson,1987
176,0,Vista Organization,USA,Robert Collector,Horror,1149470,Nightflyers,R,4/7/88,89,4,Catherine Mary Stewart,George R.R. Martin,1987
177,3000000,Emshell Producers,USA,John R. Cherry III,Comedy,23509382,Ernest Goes to Camp,PG,5/22/87,92,5.5,Jim Varney,John R. Cherry III,1987
178,17000000,Columbia Pictures Corporation,USA,Ridley Scott,Crime,10278549,Someone to Watch Over Me,R,10/9/87,106,6.1,Tom Berenger,Howard Franklin,1987
179,0,Amercent Films,USA,Bob Rafelson,Crime,25205460,Black Widow,R,2/6/87,102,6.3,Debra Winger,Ronald Bass,1987
180,0,Nouvelles Äditions de Films (NEF),France,Louis Malle,Drama,4542825,Au Revoir les Enfants,PG,2/12/88,104,8,Gaspard Manesse,Louis Malle,1987
181,0,Twentieth Century Fox Film Corporation,USA,Joe Roth,Comedy,30063289,Revenge of the Nerds II: Nerds in Paradise,PG-13,7/10/87,88,4.9,Robert Carradine,Tim Metcalfe,1987
182,29000000,Universal Pictures,UK,Richard Attenborough,Biography,5899797,Cry Freedom,PG,11/6/87,157,7.5,Denzel Washington,John Briley,1987
183,5000000,Cannon Group,USA,J. Lee Thompson,Action,6880310,Death Wish 4: The Crackdown,R,11/6/87,99,5.3,Charles Bronson,Brian Garfield,1987
184,0,7 Films Cin_ma,France,Älie Chouraqui,Action,519596,Man on Fire,R,9/4/87,87,5.9,Scott Glenn,A.J. Quinnell,1987
185,0,Zenith Entertainment,UK,Wayne Wang,Mystery,406881,Slam Dance,R,10/2/87,92,5.3,Tom Hulce,Don Keith Opper,1987
186,0,Touchstone Pictures,USA,John Badham,Action,65673233,Stakeout,R,8/5/87,117,6.6,Richard Dreyfuss,Jim Kouf,1987
187,6000000,Fourth Protocol,UK,John Mackenzie,Thriller,12423831,The Fourth Protocol,R,8/28/87,119,6.5,Michael Caine,George Axelrod,1987
188,0,Pelemele Film,West Germany,Percy Adlon,Comedy,3587303,Bagdad Cafe,PG,4/22/88,95,7.5,Marianne S_gebrecht,Eleonore Adlon,1987
189,0,TAFT Entertainment Pictures,USA,Paul Schrader,Drama,10489617,Light of Day,PG-13,2/6/87,107,5.5,Michael J. Fox,Paul Schrader,1987
190,0,"Guber-Peters Company, The",USA,James Foley,Comedy,7305209,Who's That Girl,PG,8/7/87,92,4.7,Madonna,Andrew Smith,1987
191,0,Finnegan/Pinchuk Productions,USA,William Phelps,Action,3832228,North Shore,PG,8/14/87,96,6.5,Matt Adler,William Phelps,1987
192,0,Columbia Pictures Corporation,UK,John Boorman,Comedy,10021120,Hope and Glory,PG-13,2/19/88,113,7.4,Sarah Miles,John Boorman,1987
193,27000000,Home Box Office (HBO),USA,Hector Babenco,Drama,7393346,Ironweed,R,2/12/88,143,6.8,Jack Nicholson,William Kennedy,1987
194,4000000,Cannon Films,USA,Ruggero Deodato,Fantasy,800000,The Barbarians,R,3/20/87,87,4.9,David Paul,Alberto Piferi,1987
195,0,Marimark Productions,USA,Lawrence Bassoff,Comedy,1749956,Hunk,PG,3/6/87,102,4.6,John Allen Nelson,Lawrence Bassoff,1987
196,18000000,Amercent Films,USA,Jonathan Kaplan,Comedy,18532286,Project X,PG,4/17/87,108,6.1,Matthew Broderick,Lawrence Lasker,1987
197,0,Simcom Limited,Canada,Bruce Pittman,Horror,2683519,Prom Night II,R,11/13/87,97,5.6,Lisa Schrage,Ron Oliver,1987
198,55000000,Columbia Pictures Corporation,USA,Elaine May,Action,14375181,Ishtar,PG-13,5/15/87,107,4.2,Warren Beatty,Elaine May,1987
199,0,Nelvana,Canada,Hugh Wilson,Comedy,16337355,Burglar,R,3/20/87,103,5,Whoopi Goldberg,Lawrence Block,1987
200,0,TriStar Pictures,USA,Peter Yates,Crime,18782400,Suspect,R,10/23/87,121,6.6,Cher,Eric Roth,1987
201,15000000,"Geffen Company, The",USA,Tim Burton,Comedy,73707461,Beetlejuice,PG,3/30/88,92,7.5,Alec Baldwin,Michael McDowell,1988
202,28000000,Twentieth Century Fox Film Corporation,USA,John McTiernan,Action,83008852,Die Hard,R,7/20/88,131,8.2,Bruce Willis,Roderick Thorp,1988
203,24000000,Hughes Entertainment,USA,Howard Deutch,Comedy,41455230,The Great Outdoors,PG,6/17/88,91,6.6,Dan Aykroyd,John Hughes,1988
204,3000000,New World Pictures,USA,Michael Lehmann,Comedy,1108462,Heathers,R,3/31/89,103,7.3,Winona Ryder,Daniel Waters,1988
205,35000000,Metro-Goldwyn-Mayer (MGM),USA,Ron Howard,Action,57269863,Willow,PG,5/20/88,126,7.3,Val Kilmer,George Lucas,1988
206,70000000,Touchstone Pictures,USA,Robert Zemeckis,Animation,156452370,Who Framed Roger Rabbit,PG,6/22/88,104,7.7,Bob Hoskins,Gary K. Wolf,1988
207,25000000,United Artists,USA,Barry Levinson,Drama,172825435,Rain Man,R,12/16/88,133,8,Dustin Hoffman,Barry Morrow,1988
208,7500000,Ealing Studios,UK,Charles Crichton,Comedy,63493712,A Fish Called Wanda,R,8/5/88,108,7.6,John Cleese,John Cleese,1988
209,39000000,Eddie Murphy Productions,USA,John Landis,Comedy,128152300,Coming to America,R,6/29/88,116,7,Eddie Murphy,Eddie Murphy,1988
210,18000000,American Entertainment Partners II L.P.,USA,Penny Marshall,Comedy,114968774,Big,PG,6/3/88,104,7.3,Tom Hanks,Gary Ross,1988
211,4000000,Alive Films,USA,John Carpenter,Action,13008928,They Live,R,11/4/88,94,7.3,Roddy Piper,Ray Nelson,1988
212,0,Akira Committee Company Ltd.,Japan,Katsuhiro •tomo,Animation,553171,Akira,R,7/16/88,124,8.1,Nozomu Sasaki,Katsuhiro •tomo,1988
213,15000000,Universal Pictures,USA,Ivan Reitman,Comedy,111936400,Twins,PG,12/9/88,107,6,Arnold Schwarzenegger,William Davies,1988
214,9000000,United Artists,USA,Tom Holland,Horror,33244684,Child's Play,R,11/9/88,87,6.6,Catherine Hicks,Don Mancini,1988
215,2000000,Sarlui / Diamant,USA,Stephen Chiodo,Comedy,15625095,Killer Klowns from Outer Space,PG-13,5/20/88,88,6.1,Grant Cramer,Charles Chiodo,1988
216,5000000,Cristaldifilm,Italy,Giuseppe Tornatore,Drama,11990401,Cinema Paradiso,R,2/23/90,155,8.5,Philippe Noiret,Giuseppe Tornatore,1988
217,12000000,Paramount Pictures,USA,David Zucker,Comedy,78041829,The Naked Gun: From the Files of Police Squad!,PG-13,12/2/88,85,7.6,Leslie Nielsen,Jerry Zucker,1988
218,14000000,Paramount Pictures,Australia,John Cornell,Action,109305000,Crocodile Dundee II,PG,5/25/88,108,5.5,Paul Hogan,Paul Hogan,1988
219,1100000,Cannon International,USA,Newt Arnold,Action,11806119,Bloodsport,R,4/29/88,92,6.8,Jean-Claude Van Damme,Sheldon Lettich,1988
220,3500000,De Laurentiis Entertainment Group (DEG),USA,Stan Winston,Fantasy,4385516,Pumpkinhead,R,1/13/89,86,6.2,Lance Henriksen,Ed Justin,1988
221,7000000,Universal Pictures,Canada,Martin Scorsese,Drama,7630564,The Last Temptation of Christ,R,3/12/04,164,7.6,Willem Dafoe,Nikos Kazantzakis,1988
222,14000000,Lorimar Film Entertainment,USA,Stephen Frears,Drama,34700000,Dangerous Liaisons,R,2/24/89,119,7.7,Glenn Close,Christopher Hampton,1988
223,63000000,Carolco Pictures,USA,Peter MacDonald,Action,53715611,Rambo III,R,5/25/88,102,5.7,Sylvester Stallone,David Morrell,1988
224,3000000,Front Films,USA,Keenen Ivory Wayans,Action,13030057,I'm Gonna Git You Sucka,R,2/23/89,88,6.6,Keenen Ivory Wayans,Keenen Ivory Wayans,1988
225,28000000,Twentieth Century Fox Film Corporation,USA,Mike Nichols,Comedy,64000000,Working Girl,R,12/21/88,113,6.7,Melanie Griffith,Kevin Wade,1988
226,30000000,Universal Pictures,USA,Martin Brest,Action,38413606,Midnight Run,R,7/20/88,126,7.6,Robert De Niro,George Gallo,1988
227,20000000,Touchstone Pictures,USA,Roger Donaldson,Comedy,78222753,Cocktail,R,7/29/88,104,5.8,Tom Cruise,Heywood Gould,1988
228,29000000,Carolco Pictures,USA,Walter Hill,Action,34994648,Red Heat,R,6/17/88,104,6,Arnold Schwarzenegger,Walter Hill,1988
229,19000000,TriStar Pictures,USA,Chuck Russell,Horror,8247943,The Blob,R,8/5/88,95,6.4,Shawnee Smith,Theodore Simonson,1988
230,6000000,Night Life Inc.,USA,Donald Petrie,Comedy,12793213,Mystic Pizza,R,10/21/88,104,6.2,Annabeth Gish,Amy Holden Jones,1988
231,5000000,Trancas International Films,USA,Dwight H. Little,Horror,17768757,Halloween 4: The Return of Michael Myers,R,10/21/88,88,5.9,Donald Pleasence,Dhani Lipsius,1988
232,0,All Girl Productions,USA,Garry Marshall,Comedy,57041866,Beaches,PG-13,1/13/89,123,6.8,Bette Midler,Iris Rainer,1988
233,15000000,Orion Pictures,USA,Alan Parker,Crime,34603943,Mississippi Burning,R,1/27/89,128,7.8,Gene Hackman,Chris Gerolmo,1988
234,17000000,The Saul Zaentz Company,USA,Philip Kaufman,Drama,10006806,The Unbearable Lightness of Being,R,2/5/88,171,7.4,Daniel Day-Lewis,Milan Kundera,1988
235,12500000,Universal Pictures,USA,Don Bluth,Animation,48092846,The Land Before Time,G,11/18/88,69,7.4,Pat Hingle,Stu Krieger,1988
236,6000000,Paramount Pictures,Canada,Jonathan Kaplan,Drama,32069318,Acusados,R,10/14/88,111,7.1,Kelly McGillis,Tom Topor,1988
237,13000000,New Line Cinema,USA,Renny Harlin,Horror,49369899,A Nightmare on Elm Street 4: The Dream Master,R,8/19/88,93,5.7,Robert Englund,Wes Craven,1988
238,7000000,The Mount Company,USA,Ron Shelton,Comedy,50888729,Bull Durham,R,6/15/88,108,7.1,Kevin Costner,Ron Shelton,1988
239,7500000,NBC Productions,USA,James Signorelli,Comedy,5596267,Elvira: Mistress of the Dark,PG-13,9/30/88,96,6.4,Cassandra Peterson,Sam Egan,1988
240,10000000,De Laurentiis Entertainment Group (DEG),UK,Julien Temple,Comedy,3916303,Earth Girls Are Easy,PG,5/12/89,100,5.2,Geena Davis,Julie Brown,1988
241,0,American Playhouse,USA,RamÑn Men_ndez,Drama,13994920,Stand and Deliver,PG,3/11/88,103,7.3,Edward James Olmos,RamÑn Men_ndez,1988
242,13000000,Morgan Creek Productions,USA,Christopher Cain,Action,45661556,Young Guns,R,8/12/88,107,6.8,Emilio Estevez,John Fusco,1988
243,0,Gaumont,France,Luc Besson,Adventure,3500000,The Big Blue,R,8/19/88,168,7.6,Jean-Marc Barr,Luc Besson,1988
244,0,Orion Pictures,USA,Frank Oz,Comedy,42039085,Dirty Rotten Scoundrels,PG,12/14/88,110,7.3,Steve Martin,Dale Launer,1988
245,3000000,Film Futures,UK,Tony Randel,Horror,11090735,Hellbound: Hellraiser II,R,12/23/88,97,6.5,Doug Bradley,Clive Barker,1988
246,7000000,Orion Pictures,USA,George A. Romero,Drama,5344577,Monkey Shines,R,7/29/88,113,6.2,Jason Beghe,Michael Stewart,1988
247,2000000,New Line Cinema,USA,John Waters,Comedy,6671108,Hairspray,PG,2/26/88,92,7,Sonny Bono,John Waters,1988
248,10000000,Orion Pictures,USA,Jonathan Demme,Comedy,21486757,Married to the Mob,R,8/19/88,104,6.1,Michelle Pfeiffer,Barry Strugatz,1988
249,0,DDM Film Corporation,USA,Zalman King,Drama,1547397,Two Moon Junction,R,4/29/88,104,5,Sherilyn Fenn,Zalman King,1988
